Sampling_Site,Sample_ID,MP identifier,Coordinates [pixels],,Coordinates [µm],,Polymer group,Number of pixels [-],Area on map [µm²],Major dimension [µm],Minor dimension [µm],Volume [µm³],Mass [ng]
N14,N14,MP_19,[1490,1980],[8195,10890],pe,25,756.3,40.3,23.9,7230.311,6.8688
N14,N14,MP_20,[1665,202],[9158,1111],pe,9,272.3,25.3,13.7,1490.258,1.41575
N14,N14,MP_21,[1790,393],[9845,2162],pe,7,211.8,22.9,11.8,997.524,0.94765
N14,N14,MP_22,[1821,452],[10016,2486],pe,27,816.8,39.6,26.2,8574.969,8.14622
N14,N14,MP_23,[1836,599],[10098,3295],pe,18,544.5,35.1,19.7,4299.63,4.08465
N14,N14,MP_24,[1968,760],[10824,4180],pe,26,786.5,46.5,21.6,6780.379,6.44136
N14,N14,MP_25,[2004,1068],[11022,5874],pe,23,695.8,36.6,24.2,6733.561,6.39688
N14,N14,MP_26,[2123,1311],[11677,7211],pe,65,1966.3,60.2,41.6,32694.961,31.06021
N14,N14,MP_27,[969,1743],[5330,9587],pp,182,5505.5,176.8,39.7,87330.469,82.96395
N14,N14,MP_28,[1007,1788],[5539,9834],pp,7,211.8,22.9,11.8,997.524,0.94765
N14,N14,MP_29,[363,474],[1997,2607],pp,65,1966.3,83.8,29.9,23506.371,22.33105
N14,N14,MP_30,[396,831],[2178,4571],pp,13,393.3,33.5,14.9,2347.928,2.23053
N14,N14,MP_31,[438,1430],[2409,7865],pp,58,1754.5,88.3,25.3,17761.162,16.8731
N14,N14,MP_32,[712,688],[3916,3784],pp,67,2026.8,60.6,42.6,34501,32.77595
N14,N14,MP_33,[1146,639],[6303,3515],pp,21,635.3,56.2,14.4,3656.497,3.47367
N14,N14,MP_34,[1180,972],[6490,5346],pp,23,695.8,40.7,21.8,6054.787,5.75205
N14,N14,MP_35,[1280,2114],[7040,11627],pp,15,453.8,36.6,15.8,2863.991,2.72079
N14,N14,MP_36,[1408,957],[7744,5264],pp,29,877.3,63.8,17.5,6140.407,5.83339
N14,N14,MP_37,[1445,1798],[7948,9889],pp,8,242,22.9,13.5,1302.888,1.23774
N14,N14,MP_38,[1602,1650],[8811,9075],pp,209,6322.3,260.2,30.9,78233.563,74.32188
N14,N14,MP_39,[1780,1196],[9790,6578],pp,309,9347.3,216.1,55.1,205869.203,195.57573
N14,N14,MP_40,[1026,1779],[5643,9785],pp,28,847,69.7,15.5,5242.002,4.9799
N14,N14,MP_41,[1606,1731],[8833,9521],pp,6,181.5,21.1,11,796.783,0.75694
N14,N14,MP_42,[2155,828],[11853,4554],pp,22,665.5,39,21.8,5790.297,5.50078
N14,N14,MP_43,[1234,890],[6787,4895],pp,8,242,25.3,12.2,1177.488,1.11861
N15,N15/1,MP_1,[256,1915],[1408,10533],pe,27,816.8,48.5,21.5,7011.284,6.66072
N15,N15/1,MP_2,[869,2153],[4780,11842],pe,21,635.3,39,20.8,5275.87,5.01208
N15,N15/1,MP_3,[2142,1118],[11781,6149],pe,43,1300.8,56,29.6,15376.522,14.6077
